,society_name,short_description,bhk,square_feet,price,description
120,Jaypee Greens Crescent Court,"2 BHK Flat in Jaypee Greens, Greater Noida",2 BHK,"2,690 sqft",₹4.75 Cr,"This lovely 2 bhk apartment/flat in jaypee greens is available for sale in one of greater noida's most popular projects, jaypee greens crescent court. This residential flat is north-East-Facing direction. Constructed on a super built up area of 2691 sq.Ft., the flat comprises 2 bedroom(s), 3 bathrooms and 2 balconies. The property is located on the 12th floor of a 22 floors tall building. Being..."
121,Jaypee Greens Moon Court,"3 BHK Flat in Jaypee Greens, Greater Noida",3 BHK,"1,918 sqft",₹2.55 Cr,"This 3 bhk apartment is available for sale in jaypee greens moon court, one of the most prominent projects for flats in jaypee greens, greater noida. The flat is north-East-Facing. The floor plan additionally contains 3 bedroom(s), 4 bathrooms and 2 balconies. All in all, the flat is spread over a super built up area of 1919 sq.Ft. The residential building has 19 floors in total and the flat fo..."
122,Jaypee Greens Moon Court,"2 BHK Flat in Jaypee Greens, Greater Noida",2 BHK,"1,414 sqft",₹1.65 Cr,"This beautiful 2 bhk flat in jaypee greens, greater noida is situated in jaypee greens moon court, one of the popular residential society in greater noida. The flat is south-East-Facing. Constructed on a super built up area of 1414 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 1 balcony. The residential building has 19 floors in total and the flat for sale is located on the 1st floor..."
123,Jaypee Greens Moon Court,"3 BHK Flat in Jaypee Greens, Greater Noida",3 BHK,"1,950 sqft",₹2.75 Cr,"Looking for a 3 bhk property for sale in greater noida? Buy this 3 bhk flat in jaypee greens star court that is situated in jaypee greens, greater noida. This property faces the east direction. The flat is over 1950 sq.Ft. Carpet area and comes with 3 bedroom(s), 3 bathrooms and 2 balconies. The residential building has 19 floors in total and the flat for sale is located on the 8th floor. An ad..."
124,Jaypee Greens Crescent Court,"2 BHK Flat in Jaypee Greens, Greater Noida",2 BHK,"2,690 sqft",₹4.2 Cr,Crescent court jaypee greens 2bhk plus servant Premium tower in jaypee greens 18hole golf course view Call us for further information
125,Jaypee Greens Star Court,"3 BHK Flat in Jaypee Greens, Greater Noida",3 BHK,"2,385 sqft",₹3.3 Cr,Starcourt jaypee greens 3bhk plus servant 2385sqft .. For further details contact us.
126,Jaypee Greens Spa Court,"3 BHK Flat in Jaypee Greens, Greater Noida",3 BHK,"2,153 sqft",₹3 Cr,Low rise flat spa court jaypee green greater noida
127,Jaypee Greens Villas,"7 Bedroom House in Jaypee Greens, Greater Noida",7 BHK,"6,300 sqft",₹14 Cr,Golf course view villa sport villa near by pari chowk greater noida
128,Jaypee Greens Crescent Court,"2 BHK Flat in Jaypee Greens, Greater Noida",2 BHK,"2,650 sqft",₹4.6 Cr,Golf course view jaypee green 2bhk plus servant room
129,Jaypee Greens Crescent Court,"1 BHK Flat in Jaypee Greens, Greater Noida",1 BHK,"1,377 sqft",₹1.7 Cr,1bhk flat in crecent court jaypee green greater noida
